"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"dbplyr","dbplyr","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","2.3.2",NA,"R (>= 3.1)","blob (>= 1.2.0), cli (>= 3.4.1), DBI (>= 1.0.0), dplyr (>=
1.1.0), glue (>= 1.2.0), lifecycle (>= 1.0.3), magrittr,
methods, pillar (>= 1.5.0), purrr (>= 1.0.1), R6 (>= 2.2.2),
rlang (>= 1.0.6), tibble (>= 1.4.2), tidyr (>= 1.3.0),
tidyselect (>= 1.2.0), utils, vctrs (>= 0.5.0), withr",NA,"bit64, covr, knitr, Lahman, nycflights13, odbc, RMariaDB (>=
1.0.2), rmarkdown, RPostgres (>= 1.1.3), RPostgreSQL, RSQLite
(>= 2.2.15), testthat (>= 3.0.2)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"DEoptimR","DEoptimR","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.1-1",NA,NA,"stats",NA,NA,"robustbase","GPL (>= 2)",NA,NA,NA,NA,"no","4.3.0"
"Deriv","Deriv","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","4.1.3",NA,NA,"methods",NA,"testthat",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.3.0"
"desc","desc","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.4.2",NA,"R (>= 3.4)","cli, R6, rprojroot, utils",NA,"callr, covr, gh, spelling, testthat, whoami, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"deSolve","deSolve","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.35",NA,"R (>= 3.3.0)","methods, graphics, grDevices, stats",NA,"scatterplot3d, FME",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.0"
"devtools","devtools","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","2.4.5",NA,"R (>= 3.0.2), usethis (>= 2.1.6)","cli (>= 3.3.0), desc (>= 1.4.1), ellipsis (>= 0.3.2), fs (>=
1.5.2), lifecycle (>= 1.0.1), memoise (>= 2.0.1), miniUI (>=
0.1.1.1), pkgbuild (>= 1.3.1), pkgdown (>= 2.0.6), pkgload (>=
1.3.0), profvis (>= 0.3.7), rcmdcheck (>= 1.4.0), remotes (>=
2.4.2), rlang (>= 1.0.4), roxygen2 (>= 7.2.1), rversions (>=
2.1.1), sessioninfo (>= 1.2.2), stats, testthat (>= 3.1.5),
tools, urlchecker (>= 1.0.1), utils, withr (>= 2.5.0)",NA,"BiocManager (>= 1.30.18), callr (>= 3.7.1), covr (>= 3.5.1),
curl (>= 4.3.2), digest (>= 0.6.29), DT (>= 0.23), foghorn (>=
1.4.2), gh (>= 1.3.0), gmailr (>= 1.0.1), httr (>= 1.4.3),
knitr (>= 1.39), lintr (>= 3.0.0), MASS, mockery (>= 0.4.3),
pingr (>= 2.0.1), rhub (>= 1.1.1), rmarkdown (>= 2.14),
rstudioapi (>= 0.13), spelling (>= 2.2)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"diagram","diagram","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.6.5",NA,"R (>= 2.01), shape","stats, graphics",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.0"
"dials","dials","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.2.0",NA,"R (>= 3.4), scales","cli, DiceDesign, dplyr (>= 0.8.5), glue, hardhat (>= 1.1.0),
lifecycle, pillar, purrr, rlang (>= 1.1.0), tibble, utils,
vctrs (>= 0.3.8), withr",NA,"covr, kernlab, knitr, rmarkdown, rpart, testthat (>= 3.0.0),
xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"DiceDesign","DiceDesign","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.9",NA,"R (>= 2.10)",NA,NA,"rgl, randtoolbox, lattice",NA,"GPL-3",NA,NA,NA,NA,"yes","4.3.0"
"diffobj","diffobj","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.3.5",NA,"R (>= 3.1.0)","crayon (>= 1.3.2), tools, methods, utils, stats",NA,"knitr, rmarkdown",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.3.0"
"diffviewer","diffviewer","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.1.1",NA,NA,"htmlwidgets, jsonlite",NA,"covr, shiny",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"digest","digest","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.6.33",NA,"R (>= 3.3.0)","utils",NA,"tinytest, simplermarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.0"
"digitize","digitize","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.0.4",NA,"R (>= 2.2.0)","graphics, readbitmap (>= 0.1-4)",NA,"testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.0"
"distributional","distributional","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.3.2",NA,NA,"vctrs (>= 0.3.0), rlang (>= 0.4.5), generics, stats, numDeriv,
ggplot2, scales, farver, digest, utils, lifecycle",NA,"testthat (>= 2.1.0), covr, mvtnorm, actuar (>= 2.0.0), ggdist",NA,"GPL-3",NA,NA,NA,NA,"no","4.3.0"
"doParallel","doParallel","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.0.17",NA,"R (>= 2.14.0), foreach (>= 1.2.0), iterators (>= 1.0.0),
parallel, utils",NA,NA,"caret, mlbench, rpart, RUnit","compiler","GPL-2",NA,NA,NA,NA,"no","4.3.0"
"doRNG","doRNG","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.8.6",NA,"R (>= 3.0.0), foreach, rngtools (>= 1.5)","stats, utils, iterators",NA,"doParallel, doMPI, doRedis, rbenchmark, devtools, knitr,
rbibutils (>= 1.3), testthat, pkgmaker (>= 0.32.7), covr",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.0"
"dotCall64","dotCall64","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.1-0",NA,"R (>= 3.1)",NA,NA,"microbenchmark, RhpcBLASctl, RColorBrewer, roxygen2, spam,
testthat,",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.1"
"downlit","downlit","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.4.2",NA,"R (>= 3.4.0)","brio, desc, digest, evaluate, fansi, memoise, rlang, vctrs,
withr, yaml",NA,"covr, htmltools, jsonlite, MASS, MassSpecWavelet, pkgload,
rmarkdown, testthat (>= 3.0.0), xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"dplyr","dplyr","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.1.3",NA,"R (>= 3.5.0)","cli (>= 3.4.0), generics, glue (>= 1.3.2), lifecycle (>=
1.0.3), magrittr (>= 1.5), methods, pillar (>= 1.9.0), R6,
rlang (>= 1.1.0), tibble (>= 3.2.0), tidyselect (>= 1.2.0),
utils, vctrs (>= 0.6.0)",NA,"bench, broom, callr, covr, DBI, dbplyr (>= 2.2.1), ggplot2,
knitr, Lahman, lobstr, microbenchmark, nycflights13, purrr,
rmarkdown, RMySQL, RPostgreSQL, RSQLite, stringi (>= 1.7.6),
testthat (>= 3.1.5), tidyr (>= 1.3.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.0"
"DT","DT","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.28",NA,NA,"htmltools (>= 0.3.6), htmlwidgets (>= 1.3), jsonlite (>=
0.9.16), magrittr, crosstalk, jquerylib, promises",NA,"knitr (>= 1.8), rmarkdown, shiny (>= 1.6), bslib, future,
testit, tibble",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"dtplyr","dtplyr","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.3.1",NA,"R (>= 3.3)","cli (>= 3.4.0), data.table (>= 1.13.0), dplyr (>= 1.1.0),
glue, lifecycle, rlang (>= 1.0.4), tibble, tidyselect (>=
1.2.0), vctrs (>= 0.4.1)",NA,"bench, covr, knitr, rmarkdown, testthat (>= 3.1.2), tidyr (>=
1.1.0), waldo (>= 0.3.1)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"dygraphs","dygraphs","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.1.1.6",NA,"R (>= 3.0)","magrittr, htmlwidgets (>= 0.6), htmltools (>= 0.3.5), zoo (>=
1.7-10), xts (>= 0.9-7)",NA,"testthat","rmarkdown (>= 0.3.3), shiny (>= 0.10.2.1)","MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"e1071","e1071","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.7-13",NA,NA,"graphics, grDevices, class, stats, methods, utils, proxy",NA,"cluster, mlbench, nnet, randomForest, rpart, SparseM, xtable,
Matrix, MASS, slam",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.3.0"
"effectsize","effectsize","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.8.3",NA,"R (>= 3.6)","bayestestR (>= 0.13.0), insight (>= 0.18.8), parameters (>=
0.20.2), performance (>= 0.10.2), datawizard (>= 0.6.5), stats,
utils",NA,"correlation (>= 0.8.3), see (>= 0.7.4), afex, BayesFactor,
boot, brms, car, emmeans, gt, knitr, lavaan, lme4, lmerTest,
MASS, mgcv, parsnip, rmarkdown, rms, rstanarm, rstantools,
testthat (>= 3.1.0)",NA,"GPL-3",NA,NA,NA,NA,"no","4.3.0"
"ellipsis","ellipsis","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.3.2",NA,"R (>= 3.2)","rlang (>= 0.3.0)",NA,"covr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.0"
"emmeans","emmeans","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.8.7",NA,"R (>= 4.1.0)","estimability (>= 1.4.1), graphics, methods, numDeriv, stats,
utils, mvtnorm",NA,"bayesplot, bayestestR, biglm, brms, car, coda (>= 0.17),
ggplot2, lattice, logspline, mediation, mgcv, multcomp,
multcompView, nlme, ordinal (>= 2014.11-12), pbkrtest (>=
0.4-1), lme4, lmerTest (>= 2.0.32), MASS, MuMIn, rsm, knitr,
rmarkdown, sandwich, scales, splines, testthat, xtable (>=
1.8-2)","CARBayes, coxme, gee, geepack, MCMCglmm, MCMCpack, mice,
nnet, pscl, rstanarm, sommer, survival","GPL-2 | GPL-3",NA,NA,NA,NA,"no","4.3.0"
"estimability","estimability","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.4.1",NA,"stats",NA,NA,NA,NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.3.0"
"evaluate","evaluate","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.21",NA,"R (>= 3.0.2)","methods",NA,"covr, ggplot2, lattice, rlang, testthat (>= 3.0.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"exactRankTests","exactRankTests","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.8-35",NA,"R (>= 2.4.0), stats, utils",NA,NA,"survival",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.0"
"expm","expm","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.999-7",NA,"Matrix","methods",NA,"RColorBrewer, sfsmisc, Rmpfr",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.0"
"fansi","fansi","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.0.5",NA,"R (>= 3.1.0)","grDevices, utils",NA,"unitizer, knitr, rmarkdown",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.3.1"
"faraway","faraway","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.0.8",NA,"R (>= 3.5.0)","methods, lme4, nlme",NA,"leaps",NA,"GPL",NA,NA,NA,NA,"no","4.3.0"
"farver","farver","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","2.1.1",NA,NA,NA,NA,"covr, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.0"
"fastmap","fastmap","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.1.1",NA,NA,NA,NA,"testthat (>= 2.1.1)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.0"
"fields","fields","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","15.2",NA,"R (>= 3.5.0), methods, spam, viridisLite","maps",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.0"
"filelock","filelock","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.0.2",NA,NA,NA,NA,"callr (>= 2.0.0), covr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.0"
"flextable","flextable","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.9.2",NA,NA,"stats, utils, grDevices, graphics, grid, rmarkdown, knitr,
htmltools, rlang, ragg, officer (>= 0.6.2), gdtools (>= 0.3.3),
xml2, data.table (>= 1.13.0), uuid (>= 0.1-4)",NA,"testthat (>= 2.1.0), magick, equatags, commonmark, ggplot2,
scales, doconv (>= 0.3.0), xtable, tables (>= 0.9.17), broom,
broom.mixed, mgcv, cluster, lme4, nlme, bookdown (>= 0.34),
pdftools, officedown, pkgdown (>= 2.0.0), webshot2",NA,"GPL-3",NA,NA,NA,NA,"no","4.3.0"
"fontawesome","fontawesome","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.5.1",NA,"R (>= 3.3.0)","rlang (>= 1.0.6), htmltools (>= 0.5.1.1)",NA,"covr, dplyr (>= 1.0.8), knitr (>= 1.31), testthat (>= 3.0.0),
rsvg",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"fontBitstreamVera","fontBitstreamVera","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.1.1",NA,"R (>= 3.0.0)",NA,NA,NA,NA,"file LICENCE","yes",NA,NA,NA,"no","4.3.0"
"fontLiberation","fontLiberation","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.1.0",NA,"R (>= 3.0)",NA,NA,NA,NA,"file LICENSE","yes",NA,NA,NA,"no","4.3.0"
"fontquiver","fontquiver","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.2.1",NA,"R (>= 3.0.0)","fontBitstreamVera (>= 0.1.0), fontLiberation (>= 0.1.0)",NA,"testthat, htmltools",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"forcats","forcats","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.0.0",NA,"R (>= 3.4)","cli (>= 3.4.0), glue, lifecycle, magrittr, rlang (>= 1.0.0),
tibble",NA,"covr, dplyr, ggplot2, knitr, readr, rmarkdown, testthat (>=
3.0.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"foreach","foreach","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.5.2",NA,"R (>= 2.5.0)","codetools, utils, iterators",NA,"randomForest, doMC, doParallel, testthat, knitr, rmarkdown",NA,"Apache License (== 2.0)",NA,NA,NA,NA,"no","4.3.0"
"forecast","forecast","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","8.21",NA,"R (>= 3.5.0),","colorspace, fracdiff, generics (>= 0.1.2), ggplot2 (>= 2.2.1),
graphics, lmtest, magrittr, nnet, parallel, Rcpp (>= 0.11.0),
stats, timeDate, tseries, urca, zoo","Rcpp (>= 0.11.0), RcppArmadillo (>= 0.2.35)","forecTheta, knitr, methods, rmarkdown, rticles, seasonal,
testthat (>= 3.0.0), uroot",NA,"GPL-3",NA,NA,NA,NA,"yes","4.3.0"
"foreign","foreign","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.8-85","recommended","R (>= 4.0.0)","methods, utils, stats",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.2"
"forestplot","forestplot","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","3.1.1",NA,"R (>= 4.1.0), grid, checkmate, abind",NA,NA,"dplyr, Gmisc, Greg, knitr, purrr, rlang, rmarkdown, rmeta,
rms, testthat, tibble, tidyr, tidyselect, tidyverse",NA,"GPL-2",NA,NA,NA,NA,"no","4.3.0"
"Formula","Formula","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.2-5",NA,"R (>= 2.0.0), stats",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"no","4.3.0"
"fracdiff","fracdiff","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.5-2",NA,NA,"stats",NA,"longmemo, forecast, urca",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.0"
"fs","fs","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.6.3",NA,"R (>= 3.4)","methods",NA,"covr, crayon, knitr, pillar (>= 1.0.0), rmarkdown, spelling,
testthat (>= 3.0.0), tibble (>= 1.1.0), vctrs (>= 0.3.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.0"
"furrr","furrr","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.3.1",NA,"future (>= 1.25.0), R (>= 3.4.0)","globals (>= 0.14.0), lifecycle (>= 1.0.1), purrr (>= 0.3.4),
rlang (>= 1.0.2), vctrs (>= 0.4.1)",NA,"carrier, covr, dplyr (>= 0.7.4), knitr, listenv (>= 0.6.0),
magrittr, rmarkdown, testthat (>= 3.0.0), tidyselect, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"future","future","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.32.0",NA,NA,"digest, globals (>= 0.16.1), listenv (>= 0.8.0), parallel,
parallelly (>= 1.34.0), utils",NA,"methods, RhpcBLASctl, R.rsp, markdown",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.3.0"
"future.apply","future.apply","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.11.0",NA,"R (>= 3.2.0), future (>= 1.28.0)","globals (>= 0.16.1), parallel, utils",NA,"datasets, stats, tools, listenv (>= 0.8.0), R.rsp, markdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.0"
"gargle","gargle","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.4.0",NA,"R (>= 3.5)","cli (>= 3.0.1), fs (>= 1.3.1), glue (>= 1.3.0), httr (>=
1.4.5), jsonlite, lifecycle, openssl, rappdirs, rlang (>=
1.1.0), stats, utils, withr",NA,"aws.ec2metadata, aws.signature, covr, httpuv, knitr,
rmarkdown, sodium, spelling, testthat (>= 3.1.7)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"gdtools","gdtools","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.3.3",NA,"R (>= 4.0.0)","Rcpp (>= 0.12.12), systemfonts (>= 0.1.1), htmltools, gfonts,
tools, curl, fontquiver (>= 0.2.0)","Rcpp","testthat, methods",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"yes","4.3.0"
"generics","generics","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.1.3",NA,"R (>= 3.2)","methods",NA,"covr, pkgload, testthat (>= 3.0.0), tibble, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"gert","gert","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.9.2",NA,NA,"askpass, credentials (>= 1.2.1), openssl (>= 2.0.3),
rstudioapi (>= 0.11), sys, zip (>= 2.1.0)",NA,"spelling, knitr, rmarkdown, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.0"
"getPass","getPass","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.2-2",NA,"R (>= 3.0.0)","utils, rstudioapi (>= 0.5)",NA,"argon2",NA,"BSD 2-clause License + file LICENSE",NA,NA,NA,NA,"yes","4.3.0"
"gfonts","gfonts","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.2.0",NA,"R (>= 2.10)","utils, htmltools, shiny, crul, jsonlite, glue, crayon",NA,"knitr, rmarkdown, testthat (>= 2.1.0), vcr, covr",NA,"GPL-3",NA,NA,NA,NA,"no","4.3.0"
"GGally","GGally","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","2.1.2",NA,"R (>= 3.1), ggplot2 (>= 3.3.4)","dplyr (>= 1.0.0), forcats, grDevices, grid, gtable (>= 0.2.0),
lifecycle, plyr (>= 1.8.3), progress, RColorBrewer, reshape (>=
0.8.5), rlang, scales (>= 1.1.0), tidyr, utils",NA,"broom (>= 0.7.0), broom.helpers (>= 1.1.0), chemometrics,
geosphere (>= 1.5-1), ggforce, Hmisc, igraph (>= 1.0.1),
intergraph (>= 2.0-2), labelled, maps (>= 3.1.0), mapproj,
nnet, network (>= 1.17.1), scagnostics, sna (>= 2.3-2),
survival, rmarkdown, roxygen2, testthat, crosstalk, knitr,
spelling, emmeans",NA,"GPL (>= 2.0)",NA,NA,NA,NA,"no","4.3.0"
"ggbeeswarm","ggbeeswarm","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.7.2",NA,"R (>= 3.5.0), ggplot2 (>= 3.3.0)","beeswarm, lifecycle, vipor, cli",NA,"gridExtra",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.3.0"
"ggdist","ggdist","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","3.3.0",NA,"R (>= 3.5.0)","tidyselect, dplyr (>= 1.0.0), ggplot2 (>= 3.4.0), rlang (>=
0.3.0), cli, scales, grid, tibble, vctrs, withr, distributional
(>= 0.3.2), numDeriv, glue, quadprog",NA,"knitr, testthat (>= 3.0.0), vdiffr (>= 1.0.0), svglite (>=
2.1.0), broom (>= 0.5.6), modelr, cowplot, patchwork, covr,
rmarkdown, png, fda, forcats, purrr (>= 0.2.3), tidyr (>=
1.0.0), beeswarm (>= 0.4.0), posterior, pkgdown, mvtnorm,
palmerpenguins, fontquiver, sysfonts, showtext",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.3.0"
"ggeffects","ggeffects","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.2.3",NA,"R (>= 3.6)","graphics, insight (>= 0.19.0), stats",NA,"AER, aod, bayestestR, betareg, brglm2, brms, broom, car,
carData, clubSandwich, datawizard, effects (>= 4.1-2), emmeans
(>= 1.4.1), gam, gamlss, gamm4, gee, geepack, ggplot2,
GLMMadaptive, glmmTMB (>= 1.0.0), gridExtra, haven, httr,
jsonlite, knitr, lme4, logistf, magrittr, margins,
marginaleffects (>= 0.10.0), MASS, Matrix, mice, MCMCglmm,
mgcv, nestedLogit (>= 0.3.0), nlme, ordinal, parameters,
patchwork, pscl, quantreg, rmarkdown, rms, robustbase,
rstanarm, rstantools, sandwich, see, sjlabelled (>= 1.1.2),
sjstats, sjmisc (>= 2.8.2), survey, survival, testthat, VGAM",NA,"GPL-3",NA,NA,NA,NA,"no","4.3.0"
"ggenealogy","ggenealogy","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.0.1",NA,"R (>= 3.6.0)","ggplot2 (>= 2.2.0), igraph (>= 0.7.1), plyr (>= 1.8.1),
reshape2 (>= 1.4), plotly (>= 4.5.6), tibble (>= 1.2)",NA,"stringr (>= 0.6.2), knitr (>= 1.13), roxygen2 (>= 3.0.0),
dplyr (>= 0.5.0)",NA,"GPL",NA,NA,NA,NA,"no","4.3.0"
"ggforce","ggforce","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.4.1",NA,"ggplot2 (>= 3.3.6), R (>= 3.3.0)","Rcpp (>= 0.12.2), grid, scales, MASS, tweenr (>= 0.1.5),
gtable, rlang, polyclip, stats, grDevices, tidyselect, withr,
utils, lifecycle, cli, vctrs, systemfonts","Rcpp, RcppEigen","sessioninfo, concaveman, deldir, latex2exp, reshape2, units
(>= 0.4-6), covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.0"
"ggmosaic","ggmosaic","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.3.3",NA,"ggplot2 (>= 3.3.0), R (>= 3.5.0)","productplots, dplyr, plotly (>= 4.5.5), purrr, rlang, tidyr,
ggrepel, scales",NA,"gridExtra, knitr, NHANES, rmarkdown, patchwork",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.0"
"ggplot2","ggplot2","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","3.4.4",NA,"R (>= 3.3)","cli, glue, grDevices, grid, gtable (>= 0.1.1), isoband,
lifecycle (> 1.0.1), MASS, mgcv, rlang (>= 1.1.0), scales (>=
1.2.0), stats, tibble, vctrs (>= 0.5.0), withr (>= 2.5.0)",NA,"covr, dplyr, ggplot2movies, hexbin, Hmisc, knitr, lattice,
mapproj, maps, multcomp, munsell, nlme, profvis, quantreg,
ragg, RColorBrewer, rmarkdown, rpart, sf (>= 0.7-3), svglite
(>= 1.2.0.9001), testthat (>= 3.1.2), vdiffr (>= 1.0.0), xml2","sp","MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"ggpmisc","ggpmisc","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.5.3",NA,"R (>= 4.0.0), ggpp (>= 0.4.5)","grid, stats, ggplot2 (>= 3.4.0), scales (>= 1.2.0), rlang (>=
1.0.0), generics (>= 0.1.2), MASS (>= 7.3-51.6), confintr (>=
0.1.2), polynom (>= 1.4-0), quantreg (>= 5.93), lmodel2 (>=
1.7-3), splus2R (>= 1.3-3), tibble (>= 3.1.5), plyr (>= 1.8.6),
dplyr (>= 1.0.6), lubridate (>= 1.7.10)",NA,"knitr (>= 1.39), rmarkdown (>= 2.14), ggrepel (>= 0.9.1),
broom (>= 0.8.0), broom.mixed (>= 0.2.9.4), nlme (>= 3.1-152),
gginnards (>= 0.1.0-1), testthat, vdiffr",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.0"
"ggpp","ggpp","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.5.3",NA,"R (>= 4.0.0), ggplot2 (>= 3.3.6)","stats, grid, grDevices, rlang (>= 1.0.6), magrittr (>= 2.0.1),
glue (>= 1.6.0), gridExtra (>= 2.3), scales (>= 1.2.0), tibble
(>= 3.1.8), dplyr (>= 1.1.0), xts (>= 0.13.0), zoo (>= 1.8-11),
MASS (>= 7.3-58), polynom (>= 1.4-0), lubridate (>= 1.9.0),
stringr (>= 1.4.0)",NA,"knitr (>= 1.40), rmarkdown (>= 2.20), ggrepel (>= 0.9.2),
gginnards(>= 0.1.1), magick (>= 2.7.3), testthat (>= 3.1.5),
vdiffr (>= 1.0.5)",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.0"
